1 1.70230782599 1.56829647024 1.43708328092 1.39614491041 2.08084054904 1.92847441868 1.74993657341 1.63629170343 2.25658935433 2.1830965756
2 3.26073580899 3.01308555413 2.77904019766 2.70625704147 4.00646211342 3.71679594945 3.38970988385 3.1870140224 4.32887937242 4.22490238246
4 5.94713591826 5.55148930811 5.17059301956 5.05630969457 7.33392163413 6.87134532501 6.31202779045 5.99184255615 7.94125881486 7.79216099951
8 10.2069349623 9.65241193768 9.1072798844 9.00838354457 12.7541115386 12.0253973673 11.2104507451 10.7401495878 13.8072328402 13.7169387254
16 12.5141636195 12.1284984277 11.7928220018 11.7654233885 15.7166502321 15.1533371841 14.6245365974 14.1178735011 17.0082753428 17.3455588728
32 14.4680775206 13.9633886953 13.493088238 13.5183331774 18.1320152929 17.4150334427 16.6496806797 15.9842795055 19.5709939069 19.8069329561
64 15.4640426806 14.8305215093 14.2150842877 14.2430767715 19.4324732081 18.5707702147 17.5967335504 16.8352678962 21.0416538846 21.202797322
128 14.6868827879 13.9394172126 13.5601595103 13.3114379135 18.0770820278 17.3103470244 16.5068601757 15.6834584265 19.2536612627 19.2115330316
256 15.5815254656 14.8333733955 14.0552137804 14.2367630399 19.3328090124 18.2327104013 17.3425345334 16.7439764665 20.6023991109 20.9347610268
512 15.7329825533 15.043465542 14.3082824487 14.4657102344 19.7457672182 18.7422363462 17.749386273 17.005219275 21.2568461504 21.3889580647
1024 15.8188450187 15.0901843791 14.494082195 14.5119489909 19.8998779973 18.9276285346 17.8737554996 17.1359829325 21.494289548 21.6560049135
