1 133.371 67.56 31.471 335.201
2 325.767 217.708 93.395 380.296
3 372.616 291.444 114.673 397.8
4 455.09 396.465 141.443 438.368
5 418.827 376.411 127.401 433.292
6 444.349 359.202 119.281 431.82
7 467.29 360.059 117.386 434.644
8 476.625 364.395 120.921 435.351
9 426.159 397.127 125.423 432.041
10 423.832 381.55 123.731 436.771
11 424.732 386.171 126.72 439.236
12 422.563 389.847 128.559 432.002
13 423.683 398.806 132.447 441.707
14 340.749 406.312 134.519 432.655
15 440.978 407.035 137.816 437.102
16 440.095 409.719 137.022 431.313
17 445.162 402.602 138.605 440.729
18 441.696 406.401 140.034 435.693
19 451.803 411.901 140.564 433.019
20 448.235 407.922 140.416 432.496
21 453.93 406.203 140.805 442.262
22 448.979 404.07 145.393 436.688
23 456.693 408.731 142.443 434.406
24 452.96 406.892 145.386 441.178
25 456.499 408.111 143.463 439.065
26 461.54 407.514 144.068 436.124
27 456.173 405.582 146.644 436.108
28 462.111 409.114 146.835 436.532
29 464.697 412.573 146.91 441.939
30 461.206 410.386 148.87 435.647
31 471.425 420.174 151.132 439.886
32 462.436 411.458 148.505 439.978
33 464.353 421.616 150.609 437.251
34 471.573 411.788 157.093 434.246
35 473.707 410.656 149.547 439.089
36 465.634 414.363 152.844 433.331
37 475.088 455.372 152.201 434.611
38 470.42 422.587 152.026 435.77
39 472.219 462.959 151.916 435.453
40 471.262 451.285 152.157 436.297
41 481.015 460.86 157.444 436.372
42 481.442 458.415 154.473 442.589
43 478.931 417.706 157.008 435.097
44 473.768 480.35 152.439 417.978
45 477.832 465.534 158.04 438.404
46 484.788 424.876 158.367 437.046
47 486.654 458.83 156.902 434.809
48 485.98 419.616 158.277 442.595
49 484.744 476.329 159.101 437.841
50 487.211 427.158 161.543 435.602
51 516.236 464.587 160.72 442.889
52 452.55 442.801 161.149 434.502
53 488.026 316.427 163.89 434.732
54 515.831 429.05 162.707 442.066
55 490.686 472.99 165.615 439.629
56 495.26 477.298 163.437 437.857
57 489.499 490.567 164.609 438.984
58 494.765 459.574 166.047 437.757
59 500.323 462.238 166.399 435.522
60 507.757 459.951 165.826 438.773
61 510.384 481.284 167.39 439.971
62 498.383 428.659 171.318 433.488
63 502.652 482.727 167.391 434.241
64 494.312 452.382 170.261 434.072
65 500.917 466.23 169.441 442.714
66 501.694 464.397 170.034 441.849
67 528.336 469.117 171.794 439.04
68 507.356 469.062 165.627 437.928
69 508.734 491.824 181.735 439.848
70 503.139 460.843 172.104 439.989
71 505.834 445.136 179.759 438.001
72 511.097 466.817 172.392 439.322
73 600.74 480.204 173.088 439.517
74 513.788 450.037 175.388 438.972
75 513.548 496.492 174.996 439.687
76 521.27 470.987 186.608 437.558
77 518.068 452.598 182.719 435.856
78 540.504 463.395 178.974 439.962
79 525.411 481.503 178.431 443.599
80 514.092 438.788 178.503 438.971
81 521.046 477.185 179.734 440.092
82 524.035 459.152 180.603 440.128
83 520.833 477.546 194.292 436.09
84 541.5 476.751 187.454 433.71
85 533.478 459.93 180.445 439.055
86 528.061 516.2 181.42 433.655
87 523.455 463.018 184.92 419.917
88 524.024 480.25 184.083 438.221
89 530.681 512.046 183.141 442.147
90 522.826 455.811 186.073 436.292
91 528.939 475.471 184.982 436.3
92 527.974 357.435 187.438 439.984
93 527.743 456.856 187.449 443.147
94 534.43 499.692 186.298 436.271
95 537.398 452.658 193.824 439.286
96 535.061 444.417 188.819 435.533
97 530.643 448.809 188.289 439.649
98 539.633 452.377 193.34 426.897
99 540.376 476.394 188.169 439.046
100 539.29 458.544 189.153 437.827
