333.734 174.23 95.528 55.66 45.398 39.267 36.738 38.682 36.461 36.11 35.914 
393.483 204.806 111.159 63.932 50.88 44.194 41.61 44.27 41.602 41.021 40.894 
508.736 263.075 141.395 80.276 61.995 54.183 51.431 53.915 52.016 51.096 50.441 
621.101 320.423 171.498 96.26 73.703 64.146 60.882 65.143 60.909 59.945 59.754 
1677.475 871.232 475.947 273.681 222.093 192.508 179.625 193.093 180.551 176.775 175.406 
1972.553 1023.467 553.606 316.332 251.035 218.433 204.839 219.754 208.637 202.965 200.977 
2569.9 1326.71 712.475 401.158 307.508 270.105 255.568 272.442 259.314 253.37 251.607 
3175.938 1630.605 867.306 483.863 368.098 325.117 308.683 331.353 310.366 305.598 303.266 
3343.537 1742.943 950.1 546.452 443.607 385.519 358.574 391.873 366.219 354.944 351.023 
3989.31 2061.361 1117.668 634.912 502.091 439.697 410.75 453.324 416.009 407.175 402.154 
