BAY 82.989 54.987 41.043 35.137 32.697 32.623 32.669 33.102 32.742 32.683 32.861 
NY 75.307 52.499 41.875 37.7 37.254 37.387 37.116 37.225 37.303 37.321 37.311 
COL 126.501 89.03 72.408 66.449 64.261 64.541 64.278 64.702 64.613 64.791 65.817 
FLA 281.325 187.235 142.101 122.572 118.711 116.974 116.738 117.665 117.328 117.486 117.215 
CAL 446.489 274.549 192.473 150.654 136.693 134.436 133.9 136.409 134.148 134.3 134.106 
NE 345.258 204.382 135.58 100.894 95.052 88.43 88.534 89.107 88.53 88.664 88.885 
NW 310.043 205.447 154.495 128.808 120.984 120.61 121.84 121.473 121.017 121.274 121.668 
LKS 675.891 424.955 298.794 237.931 225.607 224.888 224.063 225.685 224.907 224.866 224.62 
E 825.779 497.824 335.495 251.757 238.433 227.452 226.584 227.838 227.33 227.161 227.339 
W 1393.347 801.88 513.918 369.363 344.376 313.425 308.98 310.023 309.312 309.435 310.507 
CTR 3097.208 1714.019 1040.072 700.607 650.25 583.568 567.979 569.735 568.837 568.44 568.127 
USA 5138.759 2851.613 1722.532 1156.176 1068.77 949.474 929.496 929.992 929.87 929.659 930.079 
