IRGL1 1236.795 1136.109 1100.575 1057.451 1061.069 1061.811 1061.965 1064.853 1061.443 1061.924 1061.792 
IRGL2 1259.227 1154.58 1113.038 1066.237 1070.376 1069.294 1069.544 1073.076 1068.59 1069.655 1069.198 
IRGL3 1089.004 774.445 644.152 586.881 568.769 562.442 563.103 563.144 563.015 564.17 562.953 
IRGL4 1017.42 711.884 635.729 625.864 572.989 573.076 573.928 574.065 573.554 573.027 573.742 
IRGL5 6182.193 5695.518 5477.839 5317.606 5305.537 5305.531 5306.913 5323.774 5305.763 5304.795 5306.036 
IRGL6 6309.915 5789.627 5515.843 5370.641 5386.195 5385.793 5396.134 5384.845 5384.911 5402.59 5387.138 
IRGL7 5330.42 3909.719 3182.232 2938.568 2849.091 2780.2 2785.96 2780.15 2778.181 2778.679 2780.746 
IRGL8 4527.11 3547.871 3115.09 2950.748 2869.586 2838.235 2832.151 2833.548 2833.41 2835.656 2834.446 
IRGL9 12364.187 11398.585 10923.722 10668.274 10659.177 10617.876 10618.79 10619.804 10617.944 10618.604 10617.583 
IRGL10 12635.303 11565.428 11029.458 10750.441 10778.862 10817.517 10782.196 10816.152 10784.231 10816.662 10782.54 
