RGL1 274.343 171.919 118.784 93.019 85.237 85.353 85.24 85.658 85.224 85.325 85.566 
RGL2 313.918 194.956 131.63 102.479 93.202 92.998 92.9 93.017 93.111 93.08 93.102 
RGL3 374.189 217.671 137.265 95.275 82.454 81.493 81.307 81.293 81.373 81.389 81.312 
RGL4 466.865 263.755 160.296 112.033 97.971 95.534 95.402 95.228 95.239 95.436 95.434 
RGL5 1292.255 828.034 546.01 405.522 397.428 398.58 398.183 398.495 398.453 398.79 399.21 
RGL6 1431.042 916.056 602.916 449.944 440.529 440.361 441.173 440.653 440.748 441.061 441.267 
RGL7 1827.654 1039.074 672.577 485.794 446.781 447.768 446.738 447.628 443.851 447.634 447.134 
RGL8 2012.747 1238.463 771.329 540.098 494.799 492.259 491.804 492.683 491.118 491.063 491.812 
RGL9 2576.439 1649.796 1085.681 803.18 796.674 796.458 796.854 798.467 796.904 796.059 797.457 
RGL10 2857.482 1839.092 1204.41 894.674 886.423 885.159 886.602 886.448 884.841 885.244 885.47 
